TestCase_Id,mo_number,style,color_name,size_name,mo_quantity,plant_code,po_number,handled_po,omsMoOperations01,product_sku1,material_item_code1,material_mo_unique_ref_id1,omsMoOperations02,material_item_code02
Tc_001,P1_M1_nkm{{XS}},AHL18SF8,AHL18SF8,S,100,nkm{{XS}},NULL,FALSE,"{0=10 P1_M1_nkm{{XS}}, 1=15 P1_M1_nkm{{XS}}, 2=60 P1_M1_nkm{{XS}}, 3=70 P1_M1_nkm{{XS}}}",P1_M1_nkm{{XS}}_sku,{0=P1_M1_nkm{{XS}}_code},{0=P1_M1_nkm{{XS}}_refid},"{0=10, 1=15, 2=60, 3=70}",{0=P1_M1_nkm{{XS}}_code}
Tc_002,P1_M2_nkm{{XS}},AHL18SF8,BLACDILIN4,S,100,nkm{{XS}},NULL,FALSE,"{0=10 P1_M2_nkm{{XS}}, 1=15 P1_M2_nkm{{XS}}, 2=60 P1_M2_nkm{{XS}}, 3=70 P1_M2_nkm{{XS}}, 4=100 P1_M2_nkm{{XS}}}",P1_M2_nkm{{XS}}_sku,{0=P1_M2_nkm{{XS}}_code},{0=P1_M2_nkm{{XS}}_refid},"{0=10, 1=15, 2=60, 3=70, 4=100}",{0=P1_M2_nkm{{XS}}_code}
Tc_003,P1_M3_nkm{{XS}},AHL18SF8,HTRDREDIN5,S,200,nkm{{XS}},NULL,FALSE,"{0=10 P1_M3_nkm{{XS}}, 1=15 P1_M3_nkm{{XS}}, 2=60 P1_M3_nkm{{XS}}, 3=70 P1_M3_nkm{{XS}}, 4=100 P1_M3_nkm{{XS}}, 5=130 P1_M3_nkm{{XS}}}",P1_M3_nkm{{XS}}_sku,{0=P1_M3_nkm{{XS}}_code},{0=P1_M3_nkm{{XS}}_refid},"{0=10, 1=15, 2=60, 3=70, 4=100, 5=130}",{0=P1_M3_nkm{{XS}}_code}
Tc_004,P1_M4_nkm{{XS}},AHL18SF8,NATBLBLUE,S,50,nkm{{XS}},NULL,FALSE,"{0=10 P1_M4_nkm{{XS}}, 1=15 P1_M4_nkm{{XS}}, 2=60 P1_M4_nkm{{XS}}, 3=70 P1_M4_nkm{{XS}}, 4=100 P1_M4_nkm{{XS}},  5=130 P1_M4_nkm{{XS}}, 6=200 P1_M4_nkm{{XS}}}",P1_M4_nkm{{XS}}_sku,{0=P1_M4_nkm{{XS}}_code},{0=P1_M4_nkm{{XS}}_refid},"{0=10, 1=15, 2=60, 3=70, 4=100, 5=130, 6=200}",{0=P1_M4_nkm{{XS}}_code}
Tc_005,P1_M5_nkm{{XS}},AHL18SF8,AHL18SF8,M,200,nkm{{XS}},NULL,FALSE,"{0=10 P1_M5_nkm{{XS}}, 1=15 P1_M5_nkm{{XS}}, 2=60 P1_M5_nkm{{XS}}, 3=70 P1_M5_nkm{{XS}}}",P1_M5_nkm{{XS}}_sku,{0=P1_M5_nkm{{XS}}_code},{0=P1_M5_nkm{{XS}}_refid},"{0=10, 1=15, 2=60, 3=70}",{0=P1_M5_nkm{{XS}}_code}
Tc_006,P1_M6_nkm{{XS}},AHL18SF8,BLACDILIN4,M,200,nkm{{XS}},NULL,FALSE,"{0=10 P1_M6_nkm{{XS}}, 1=15 P1_M6_nkm{{XS}}, 2=60 P1_M6_nkm{{XS}}, 3=70 P1_M6_nkm{{XS}}, 4=100 P1_M6_nkm{{XS}}}",P1_M6_nkm{{XS}}_sku,{0=P1_M6_nkm{{XS}}_code},{0=P1_M6_nkm{{XS}}_refid},"{0=10, 1=15, 2=60, 3=70, 4=100}",{0=P1_M6_nkm{{XS}}_code}
Tc_007,P1_M7_nkm{{XS}},AHL18SF8,HTRDREDIN5,M,400,nkm{{XS}},NULL,FALSE,"{0=10 P1_M7_nkm{{XS}}, 1=15 P1_M7_nkm{{XS}}, 2=60 P1_M7_nkm{{XS}}, 3=70 P1_M7_nkm{{XS}}, 4=100 P1_M7_nkm{{XS}}, 5=130 P1_M7_nkm{{XS}}}",P1_M7_nkm{{XS}}_sku,{0=P1_M7_nkm{{XS}}_code},{0=P1_M7_nkm{{XS}}_refid},"{0=10, 1=15, 2=60, 3=70, 4=100, 5=130}",{0=P1_M7_nkm{{XS}}_code}
Tc_008,P1_M8_nkm{{XS}},AHL18SF8,NATBLBLUE,M,100,nkm{{XS}},NULL,FALSE,"{0=10 P1_M8_nkm{{XS}}, 1=15 P1_M8_nkm{{XS}}, 2=60 P1_M8_nkm{{XS}}, 3=70 P1_M8_nkm{{XS}}, 4=100 P1_M8_nkm{{XS}},  5=130 P1_M8_nkm{{XS}}, 6=200 P1_M8_nkm{{XS}}}",P1_M8_nkm{{XS}}_sku,{0=P1_M8_nkm{{XS}}_code},{0=P1_M8_nkm{{XS}}_refid},"{0=10, 1=15, 2=60, 3=70, 4=100, 5=130, 6=200}",{0=P1_M8_nkm{{XS}}_code}
Tc_009,P1_M9_nkm{{XS}},AHL18SF8,AHL18SF8,L,400,nkm{{XS}},NULL,FALSE,"{0=10 P1_M9_nkm{{XS}}, 1=15 P1_M9_nkm{{XS}}, 2=60 P1_M9_nkm{{XS}}, 3=70 P1_M9_nkm{{XS}}}",P1_M9_nkm{{XS}}_sku,{0=P1_M9_nkm{{XS}}_code},{0=P1_M9_nkm{{XS}}_refid},"{0=10, 1=15, 2=60, 3=70}",{0=P1_M9_nkm{{XS}}_code}
Tc_010,P1_M10_nkm{{XS}},AHL18SF8,BLACDILIN4,L,400,nkm{{XS}},NULL,FALSE,"{0=10 P1_M10_nkm{{XS}}, 1=15 P1_M10_nkm{{XS}}, 2=60 P1_M10_nkm{{XS}}, 3=70 P1_M10_nkm{{XS}}, 4=100 P1_M10_nkm{{XS}}}",P1_M10_nkm{{XS}}_sku,{0=P1_M10_nkm{{XS}}_code},{0=P1_M10_nkm{{XS}}_refid},"{0=10, 1=15, 2=60, 3=70, 4=100}",{0=P1_M10_nkm{{XS}}_code}
