TestCase_Id,mo_number,style,color_name,size_name,mo_quantity,omsMoOperations01,product_sku1,material_item_code1,material_mo_unique_ref_id1,omsMoOperations02,material_item_code02
Tc_001,P1_M1_KM{{XS}},ABZ06SS8,BLACDILIN4,S,30,"{0=10 P1_M1_KM{{XS}}, 1=15 P1_M1_KM{{XS}}, 2=20 P1_M1_KM{{XS}}}",P1_M1_KM{{XS}}_sku,{{0=P1_M1_KM{{XS}}_code},{{0=P1_M1_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20}",{{0=P1_M1_KM{{XS}}_code}
Tc_002,P1_M2_KM{{XS}},ABZ06SS8,HTRDREDIN5,S,30,"{0=10 P1_M2_KM{{XS}}, 1=15 P1_M2_KM{{XS}}, 2=20 P1_M2_KM{{XS}}, 3=30 P1_M2_KM{{XS}}}",P1_M2_KM{{XS}}_sku,{{0=P1_M2_KM{{XS}}_code},{{0=P1_M2_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20, 3=30}",{{0=P1_M2_KM{{XS}}_code}
Tc_003,P1_M3_KM{{XS}},ABZ06SS8,NATBLBLUE,S,30,"{0=10 P1_M3_KM{{XS}}, 1=15 P1_M3_KM{{XS}}, 2=20 P1_M3_KM{{XS}}, 3=30 P1_M3_KM{{XS}}, 4=60 P1_M3_KM{{XS}}}",P1_M3_KM{{XS}}_sku,{{0=P1_M3_KM{{XS}}_code},{{0=P1_M3_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20, 3=30, 4=60}",{{0=P1_M3_KM{{XS}}_code}
Tc_004,P1_M4_KM{{XS}},ABZ06SS8,REFPONDIN3,S,30,"{0=10 P1_M4_KM{{XS}}, 1=15 P1_M4_KM{{XS}}, 2=20 P1_M4_KM{{XS}}, 3=30 P1_M4_KM{{XS}}, 4=60 P1_M4_KM{{XS}}, 5=70 P1_M4_KM{{XS}}}",P1_M4_KM{{XS}}_sku,{{0=P1_M4_KM{{XS}}_code},{{0=P1_M4_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20, 3=30, 4=60, 5=70}",{{0=P1_M4_KM{{XS}}_code}
Tc_005,P1_M5_KM{{XS}},ABZ06SS8,BLACDILIN4,M,30,"{0=10 P1_M5_KM{{XS}}, 1=15 P1_M5_KM{{XS}}, 2=20 P1_M5_KM{{XS}}}",P1_M5_KM{{XS}}_sku,{{0=P1_M5_KM{{XS}}_code},{{0=P1_M5_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20}",{{0=P1_M5_KM{{XS}}_code}
Tc_006,P1_M6_KM{{XS}},ABZ06SS8,HTRDREDIN5,M,30,"{0=10 P1_M6_KM{{XS}}, 1=15 P1_M6_KM{{XS}}, 2=20 P1_M6_KM{{XS}}, 3=30 P1_M6_KM{{XS}}}",P1_M6_KM{{XS}}_sku,{{0=P1_M6_KM{{XS}}_code},{{0=P1_M6_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20, 3=30}",{{0=P1_M6_KM{{XS}}_code}
Tc_007,P1_M7_KM{{XS}},ABZ06SS8,NATBLBLUE,M,30,"{0=10 P1_M7_KM{{XS}}, 1=15 P1_M7_KM{{XS}}, 2=20 P1_M7_KM{{XS}}, 3=30 P1_M7_KM{{XS}}, 4=60 P1_M7_KM{{XS}}}",P1_M7_KM{{XS}}_sku,{{0=P1_M7_KM{{XS}}_code},{{0=P1_M7_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20, 3=30, 4=60}",{{0=P1_M7_KM{{XS}}_code}
Tc_008,P1_M8_KM{{XS}},ABZ06SS8,REFPONDIN3,M,30,"{0=10 P1_M8_KM{{XS}}, 1=15 P1_M8_KM{{XS}}, 2=20 P1_M8_KM{{XS}}, 3=30 P1_M8_KM{{XS}}, 4=60 P1_M8_KM{{XS}}, 5=70 P1_M8_KM{{XS}}}",P1_M8_KM{{XS}}_sku,{{0=P1_M8_KM{{XS}}_code},{{0=P1_M8_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20, 3=30, 4=60, 5=70}",{{0=P1_M8_KM{{XS}}_code}
Tc_009,P1_M9_KM{{XS}},ABZ06SS8,BLACDILIN4,L,30,"{0=10 P1_M9_KM{{XS}}, 1=15 P1_M9_KM{{XS}}, 2=20 P1_M9_KM{{XS}}}",P1_M9_KM{{XS}}_sku,{{0=P1_M9_KM{{XS}}_code},{{0=P1_M9_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20}",{{0=P1_M9_KM{{XS}}_code}
Tc_010,P1_M10_KM{{XS}},ABZ06SS8,HTRDREDIN5,L,30,"{0=10 P1_M10_KM{{XS}}, 1=15 P1_M10_KM{{XS}}, 2=20 P1_M10_KM{{XS}}, 3=30 P1_M10_KM{{XS}}}",P1_M10_KM{{XS}}_sku,{{0=P1_M10_KM{{XS}}_code},{{0=P1_M10_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20, 3=30}",{{0=P1_M10_KM{{XS}}_code}
Tc_011,P1_M11_KM{{XS}},ABZ06SS8,NATBLBLUE,L,30,"{0=10 P1_M11_KM{{XS}}, 1=15 P1_M11_KM{{XS}}, 2=20 P1_M11_KM{{XS}}, 3=30 P1_M11_KM{{XS}}, 4=60 P1_M11_KM{{XS}}}",P1_M11_KM{{XS}}_sku,{{0=P1_M11_KM{{XS}}_code},{{0=P1_M11_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20, 3=30, 4=60}",{{0=P1_M11_KM{{XS}}_code}
Tc_012,P1_M12_KM{{XS}},ABZ06SS8,REFPONDIN3,L,30,"{0=10 P1_M12_KM{{XS}}, 1=15 P1_M12_KM{{XS}}, 2=20 P1_M12_KM{{XS}}, 3=30 P1_M12_KM{{XS}}, 4=60 P1_M12_KM{{XS}}, 5=70 P1_M12_KM{{XS}}}",P1_M12_KM{{XS}}_sku,{{0=P1_M12_KM{{XS}}_code},{{0=P1_M12_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20, 3=30, 4=60, 5=70}",{{0=P1_M12_KM{{XS}}_code}
Tc_013,P1_M13_KM{{XS}},AC182SF8,TRBLC : TURBULE,32A,60,"{0=10 P1_M13_KM{{XS}}, 1=15 P1_M13_KM{{XS}}, 2=20 P1_M13_KM{{XS}}, 3=30 P1_M13_KM{{XS}}, 4=60 P1_M13_KM{{XS}}}",P1_M13_KM{{XS}}_sku,{{0=P1_M13_KM{{XS}}_code},{{0=P1_M13_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20, 3=30, 4=60}",{{0=P1_M13_KM{{XS}}_code}
Tc_014,P1_M14_KM{{XS}},AC182SF8,01-OFFWHITE-BOT,32A,60,"{0=10 P1_M14_KM{{XS}}, 1=15 P1_M14_KM{{XS}}, 2=20 P1_M14_KM{{XS}}, 3=30 P1_M14_KM{{XS}}, 4=60 P1_M14_KM{{XS}}, 5=70 P1_M14_KM{{XS}}}",P1_M14_KM{{XS}}_sku,{{0=P1_M14_KM{{XS}}_code},{{0=P1_M14_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20, 3=30, 4=60, 5=70}",{{0=P1_M14_KM{{XS}}_code}
Tc_015,P1_M15_KM{{XS}},AC182SF8,TRBLC : TURBULE,32B,120,"{0=10 P1_M15_KM{{XS}}, 1=15 P1_M15_KM{{XS}}, 2=20 P1_M15_KM{{XS}}, 3=30 P1_M15_KM{{XS}}, 4=60 P1_M15_KM{{XS}}}",P1_M15_KM{{XS}}_sku,{{0=P1_M15_KM{{XS}}_code},{{0=P1_M15_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20, 3=30, 4=60}",{{0=P1_M15_KM{{XS}}_code}
Tc_016,P1_M16_KM{{XS}},AC182SF8,01-OFFWHITE-BOT,32B,120,"{0=10 P1_M16_KM{{XS}}, 1=15 P1_M16_KM{{XS}}, 2=20 P1_M16_KM{{XS}}, 3=30 P1_M16_KM{{XS}}, 4=60 P1_M16_KM{{XS}}, 5=70 P1_M16_KM{{XS}}}",P1_M16_KM{{XS}}_sku,{{0=P1_M16_KM{{XS}}_code},{{0=P1_M16_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20, 3=30, 4=60, 5=70}",{{0=P1_M16_KM{{XS}}_code}
Tc_017,P1_M17_KM{{XS}},AFL18SF8,10-PINK-BOTTOM,XL,360,"{0=10 P1_M17_KM{{XS}}, 1=15 P1_M17_KM{{XS}}, 2=20 P1_M17_KM{{XS}}, 3=30 P1_M17_KM{{XS}}}",P1_M17_KM{{XS}}_sku,{{0=P1_M17_KM{{XS}}_code},{{0=P1_M17_KM{{XS}}_ref_id},"{0=10, 1=15, 2=20, 3=30}",{{0=P1_M17_KM{{XS}}_code}
